url,Monthly rental price,Bedrooms,Living area,lat,lon
https://www.immoweb.be/en/classified/mansion/for-rent/gent/9000/8570376?searchId=5eab5a13be5b7,1750.0,4.0,279.0,51.0410378,3.717655741454422
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8679508?searchId=5eab5a13be5b7,995.0,2.0,132.0,51.0358223,3.6944019
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8664615?searchId=5eab5a13be5b7,495.0,1.0,35.0,51.0410378,3.717655741454422
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8422353?searchId=5eab5a13be5b7,730.0,2.0,79.0,51.0410378,3.717655741454422
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8692404?searchId=5eab5a13be5b7,870.0,2.0,88.0,51.0358223,3.6944019
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8692424?searchId=5eab5b49d7d0c,615.0,1.0,60.0,51.0358223,3.6944019
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8692428?searchId=5eab5b49d7d0c,825.0,2.0,95.0,51.0358223,3.6944019
https://www.immoweb.be/en/classified/duplex/for-rent/gent/9000/8692438?searchId=5eab5b49d7d0c,960.0,2.0,97.0,51.0358223,3.6944019
https://www.immoweb.be/en/classified/ground-floor/for-rent/gent/9000/8620216?searchId=5eab5b49d7d0c,890.0,2.0,88.0,51.0461108,3.726664918505956
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8647333?searchId=5eab5b49d7d0c,850.0,2.0,74.0,50.8553847,3.7297867
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8692426?searchId=5eab5b49d7d0c,875.0,2.0,85.0,51.0358223,3.6944019
https://www.immoweb.be/en/classified/house/for-rent/gent/9000/8665574?searchId=5eab5b49d7d0c,515.0,2.0,108.0,51.0410378,3.717655741454422
https://www.immoweb.be/en/classified/house/for-rent/gent/9000/8692408?searchId=5eab5b49d7d0c,1000.0,2.0,125.0,51.0358223,3.6944019
https://www.immoweb.be/en/classified/triplex/for-rent/gent/9000/8692425?searchId=5eab5b49d7d0c,1400.0,3.0,150.0,51.0358223,3.6944019
https://www.immoweb.be/en/classified/triplex/for-rent/gent/9000/8671839?searchId=5eab5b49d7d0c,1400.0,3.0,150.0,51.0358223,3.6944019
https://www.immoweb.be/en/classified/kot/for-rent/gent/9000/8621868?searchId=5eab5b49d7d0c,405.0,1.0,18.0,51.0410378,3.717655741454422
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8650929?searchId=5eab5b49d7d0c,1400.0,2.0,130.0,51.0493535,3.7275154
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8650911?searchId=5eab5b49d7d0c,875.0,2.0,76.0,50.833001,3.6023251
https://www.immoweb.be/en/classified/duplex/for-rent/gent/9000/5099318?searchId=5eab5b49d7d0c,1150.0,3.0,146.0,51.0262973,3.7110885
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8671017?searchId=5eab5b49d7d0c,800.0,2.0,94.0,51.0603254,3.6589979
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8646527?searchId=5eab5b49d7d0c,775.0,2.0,90.0,51.0603728,3.7249287
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8658378?searchId=5eab5b49d7d0c,1300.0,3.0,145.0,51.0603728,3.7249287
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8609494?searchId=5eab5b49d7d0c,950.0,3.0,112.0,51.0511054,3.7046631
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8678086?searchId=5eab5b49d7d0c,1050.0,3.0,140.0,51.0603728,3.7249287
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8670096?searchId=5eab5b49d7d0c,890.0,2.0,98.0,51.101755,3.6326352
https://www.immoweb.be/en/classified/loft/for-rent/gent/9000/8656913?searchId=5eab5b49d7d0c,925.0,2.0,96.0,51.0603728,3.7249287
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8656911?searchId=5eab5c60b2d6a,925.0,2.0,96.0,51.0603728,3.7249287
https://www.immoweb.be/en/classified/loft/for-rent/gent/9000/2775893?searchId=5eab5c60b2d6a,900.0,1.0,130.0,51.0676959,3.7330259
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8663648?searchId=5eab5c60b2d6a,980.0,2.0,89.0,51.0676959,3.7330259
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8611516?searchId=5eab5c60b2d6a,780.0,3.0,102.0,51.0603728,3.7249287
https://www.immoweb.be/en/classified/house/for-rent/gent/9000/8684550?searchId=5eab5c60b2d6a,720.0,1.0,64.0,51.0581602,3.7331158
https://www.immoweb.be/en/classified/house/for-rent/gent/9000/8686484?searchId=5eab5c60b2d6a,985.0,3.0,98.0,51.0758595,3.7307011
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8461014?searchId=5eab5c60b2d6a,835.0,2.0,96.0,51.0148879,3.6935958
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8500998?searchId=5eab5c60b2d6a,895.0,2.0,105.0,51.0569007,3.7351684575626205
https://www.immoweb.be/en/classified/house/for-rent/gent/9000/5789975?searchId=5eab5c60b2d6a,755.0,2.0,80.0,51.02353555,3.7266298229063715
https://www.immoweb.be/en/classified/house/for-rent/gent/9000/8674721?searchId=5eab5c60b2d6a,990.0,3.0,125.0,51.048850200000004,3.7321747448488587
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8557642?searchId=5eab5c60b2d6a,745.0,2.0,97.0,51.0603254,3.6589979
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8655798?searchId=5eab5c60b2d6a,820.0,2.0,91.0,51.0676959,3.7330259
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8654518?searchId=5eab5c60b2d6a,700.0,2.0,90.0,51.0493158,3.7305356
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8669987?searchId=5eab5c60b2d6a,775.0,1.0,90.0,51.0490171,3.7441022
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8554970?searchId=5eab5c60b2d6a,705.0,1.0,54.0,51.0148879,3.6935958
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8693217?searchId=5eab5c60b2d6a,710.0,2.0,72.0,51.0603728,3.7249287
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8658486?searchId=5eab5c60b2d6a,770.0,2.0,77.0,51.0148879,3.6935958
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8648720?searchId=5eab5c60b2d6a,850.0,2.0,90.0,51.0493158,3.7305356
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8632772?searchId=5eab5c60b2d6a,995.0,3.0,104.0,51.0148879,3.6935958
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8517968?searchId=5eab5c60b2d6a,740.0,2.0,86.0,51.0423692,3.7328222
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8649457?searchId=5eab5d99f3679,800.0,1.0,53.0,51.0475258,3.7305276080729826
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8666505?searchId=5eab5d99f3679,750.0,2.0,80.0,51.0371046,3.7093649
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8541339?searchId=5eab5d99f3679,1360.0,3.0,150.0,51.0423692,3.7328222
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8486429?searchId=5eab5d99f3679,1725.0,2.0,120.0,51.0423692,3.7328222
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/5227269?searchId=5eab5d99f3679,795.0,2.0,125.0,51.0533386,3.6990917
https://www.immoweb.be/en/classified/ground-floor/for-rent/gent/9000/8615503?searchId=5eab5d99f3679,950.0,2.0,92.0,51.101755,3.6326352
https://www.immoweb.be/en/classified/service-flat/for-rent/gent/9000/8258988?searchId=5eab5d99f3679,700.0,1.0,79.0,51.0148879,3.6935958
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8477906?searchId=5eab5d99f3679,840.0,2.0,71.0,51.0423692,3.7328222
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8611775?searchId=5eab5d99f3679,895.0,2.0,88.0,51.030473150000006,3.712641043458537
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8654986?searchId=5eab5d99f3679,885.0,2.0,96.0,51.0148879,3.6935958
https://www.immoweb.be/en/classified/service-flat/for-rent/gent/9000/8259884?searchId=5eab5d99f3679,868.0,1.0,80.0,51.1351646,3.7507062
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8267763?searchId=5eab5d99f3679,868.0,1.0,80.0,51.1351646,3.7507062
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8685576?searchId=5eab5d99f3679,685.0,2.0,72.0,51.0423692,3.7328222
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8508482?searchId=5eab5d99f3679,1700.0,1.0,85.0,51.0423692,3.7328222
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/8620279?searchId=5eab5d99f3679,750.0,1.0,95.0,51.0423692,3.7328222
